symbol,name,category,type,exchange
VLAAX,Value Line Asset Allocation Fun,N/A,Mutual Fund,NAS
LDLAX,Lord Abbett Investment Trust Sh,N/A,Mutual Fund,NAS
FGRIX,Fidelity Growth and Income Pt,N/A,Mutual Fund,NAS
AFTEX,"American Fds, The Tax-Exempt Bo",N/A,Mutual Fund,NAS
RERFX,American Funds - EuroPacific Gr,N/A,Mutual Fund,NAS
ARTYX,Artisan Developing World Fund -,N/A,Mutual Fund,NAS
TWHIX,American Century Heritage Inves,N/A,Mutual Fund,NAS
PGTAX,Putnam Global Technology Fund A,N/A,Mutual Fund,NAS
GFFFX,The Growth Fund of America Clas,N/A,Mutual Fund,NAS
ABRTX,ABR DYNAMIC BLEND EQUITY & VOLA,N/A,Mutual Fund,NAS
HCAIX,Harbor Capital Appreciation Fun,N/A,Mutual Fund,NAS
ADNPX,American Beacon ARK Disruptive,N/A,Mutual Fund,NAS
HRCAX,Harbor Capital Appreciation Fun,N/A,Mutual Fund,NAS
FASIX,Fidelity Asset Manager 20%,N/A,Mutual Fund,NAS
ABNFX,"The Bond Fd of America, Class F",N/A,Mutual Fund,NAS
TWVLX,American Century Value Investor,N/A,Mutual Fund,NAS
JNGIX,Janus Henderson Growth and Inco,N/A,Mutual Fund,NAS
BEARX,Federated Prudent Bear Fund - A,N/A,Mutual Fund,NAS
YACKX,AMG Yacktman Fund - Class I,N/A,Mutual Fund,NAS
OIEIX,JPMorgan Equity Income Fund A,N/A,Mutual Fund,NAS
FIVFX,Fidelity Aggressive Internation,N/A,Mutual Fund,NAS
GFAFX,The Growth Fund of America Clas,N/A,Mutual Fund,NAS
SHAPX,ClearBridge Appreciation Fund C,N/A,Mutual Fund,NAS
MALOX,BlackRock Global Alloc I,N/A,Mutual Fund,NAS
ACSTX,Invesco Comstock Fund Class A,N/A,Mutual Fund,NAS
BARAX,Baron Asset Fund,N/A,Mutual Fund,NAS
FTANX,Fidelity Asset Manager 30%,N/A,Mutual Fund,NAS
ACMVX,American Century MidCap Value I,N/A,Mutual Fund,NAS
VHIAX,JPMorgan Growth Advantage Fund,N/A,Mutual Fund,NAS
FDYZX,Franklin DynaTech Fund Class Ad,N/A,Mutual Fund,NAS
AIBAX,American Funds Int Bond Fd of A,N/A,Mutual Fund,NAS
RGAEX,The Growth Fund of America Clas,N/A,Mutual Fund,NAS
FNIAX,Fidelity Advisor New Insights C,N/A,Mutual Fund,NAS
BALFX,American Funds American Balance,N/A,Mutual Fund,NAS
WATFX,Western Asset Core Bond Fund Cl,N/A,Mutual Fund,NAS
ARTIX,Artisan International Fund Inv,N/A,Mutual Fund,NAS
YAFFX,AMG Yacktman Focused Fund- Clas,N/A,Mutual Fund,NAS
CTFAX,"Columbia Acorn Trust, Thermosta",N/A,Mutual Fund,NAS
LBNDX,Lord Abbett Bond-Debenture Fund,N/A,Mutual Fund,NAS
TWCIX,American Century Select Investo,N/A,Mutual Fund,NAS
FMSDX,Fidelity Advisor Multi-Asset In,N/A,Mutual Fund,NAS
LGLFX,Lord Abbett Growth Leaders Fd C,N/A,Mutual Fund,NAS
AOFAX,Alger Small Cap Focus Fund Clas,N/A,Mutual Fund,NAS
VCOBX,Vanguard Core Bond Fund Admiral,N/A,Mutual Fund,NAS
GFACX,The Growth Fund of America Clas,N/A,Mutual Fund,NAS
ARTFX,Artisan High Income Fund Invest,N/A,Mutual Fund,NAS
AGOZX,Alger Small Cap Focus Fund Clas,N/A,Mutual Fund,NAS
EISMX,Eaton Vance Atlanta Capital SMI,N/A,Mutual Fund,NAS
APGAX,"AB Large Cap Growth Fund, Inc.",N/A,Mutual Fund,NAS
PRASX,T. Rowe Price New Asia Fund,N/A,Mutual Fund,NAS
ACRNX,Columbia Acorn Fund Class I,N/A,Mutual Fund,NAS
ABRVX,ABR DYNAMIC BLEND EQUITY & VOLA,N/A,Mutual Fund,NAS
GOLDX,"Gabelli Gold Fund, Inc. Class A",N/A,Mutual Fund,NAS
BULIX,American Century Utilities Fund,N/A,Mutual Fund,NAS
FLAAX,Nuveen Flagship All-American,N/A,Mutual Fund,NAS
WACSX,Western Asset Core Bond Fund Cl,N/A,Mutual Fund,NAS
MDDVX,BlackRock Eq Dividend A,N/A,Mutual Fund,NAS
FADTX,Fidelity Advisor Series VII: Fi,N/A,Mutual Fund,NAS
ARGFX,Ariel Fund Investor Cl,N/A,Mutual Fund,NAS
LCLAX,ClearBridge Select Fund Cl A,N/A,Mutual Fund,NAS
REREX,American Funds - EuroPacific Gr,N/A,Mutual Fund,NAS
APHMX,Artisan Mid Cap Fd Insti Shs,N/A,Mutual Fund,NAS
ANNPX,AllianzGI Convertible Fund Inst,N/A,Mutual Fund,NAS
REACX,American Century Real Estate Fu,N/A,Mutual Fund,NAS
VALIX,Value Line Capital Appreciation,N/A,Mutual Fund,NAS
GWPAX,American Funds Growth Portfolio,N/A,Mutual Fund,NAS
VFWAX,Vanguard FTSE All-World ex-US I,N/A,Mutual Fund,NAS
KAUAX,Federated Kaufmann Fund-A,N/A,Mutual Fund,NAS
ANBEX,American Funds Strategic Bond F,N/A,Mutual Fund,NAS
AMBFX,American Balanced Fund Class F-,N/A,Mutual Fund,NAS
SHRAX,ClearBridge Aggressive Growth F,N/A,Mutual Fund,NAS
FGADX,Franklin Gold and Precious Met,N/A,Mutual Fund,NAS
RGACX,The Growth Fund of America Clas,N/A,Mutual Fund,NAS
AASOX,Alger Portfolios - Alger SmallC,N/A,Mutual Fund,NAS
ACGYX,AB Income Fund - ADV,N/A,Mutual Fund,NAS
LAFFX,Lord Abbett Affiliated Fund Inc,N/A,Mutual Fund,NAS
LMCHX,"Lord Abbett Mid-Cap Stock Fund,",N/A,Mutual Fund,NAS
ASVIX,American Century Small Cap Valu,N/A,Mutual Fund,NAS
SGRAX,Wells Fargo Fd Class A,N/A,Mutual Fund,NAS
BFTHX,Baron Fifth Avenue Growth Fund,N/A,Mutual Fund,NAS
FINSX,Fidelity Advisor New Insights F,N/A,Mutual Fund,NAS
BGSCX,BlackRock Science and Technolog,N/A,Mutual Fund,NAS
OCMAX,OCM Gold Fund Advisor Class,N/A,Mutual Fund,NAS
OPTAX,Invesco Oppenheimer Rochester A,N/A,Mutual Fund,NAS
OURAX,Mission-Auour Risk-Managed Glob,N/A,Mutual Fund,NAS
MPACX,Matthews Asia Growth Fund Inves,N/A,Mutual Fund,NAS
LGLAX,Lord Abbett Growth Leaders Fd C,N/A,Mutual Fund,NAS
PAXWX,Pax Sustainable Allocation Fund,N/A,Mutual Fund,NAS
USAUX,USAA Mutual Fds Tr Aggressive,N/A,Mutual Fund,NAS
FSLEX,Fidelity Select Environmental a,N/A,Mutual Fund,NAS
PRLAX,T. Rowe Price Latin America Fun,N/A,Mutual Fund,NAS
GIREX,Griffin Institutional Access Re,N/A,Mutual Fund,NAS
VENAX,Vanguard Energy Index Fund Admi,N/A,Mutual Fund,NAS
FSHOX,Fidelity Select Construction an,N/A,Mutual Fund,NAS
ERASX,Eaton Vance Atlanta Capital SMI,N/A,Mutual Fund,NAS
FVITX,Fidelity Advisor Government Inc,N/A,Mutual Fund,NAS
OPTFX,Invesco Oppenheimer Capital App,N/A,Mutual Fund,NAS
FATIX,Fidelity Advisor Technology Fun,N/A,Mutual Fund,NAS
DRGTX,AllianzGI Technology Fund Insti,N/A,Mutual Fund,NAS
MAGWX,MFS Growth Allocation Fund - Cl,N/A,Mutual Fund,NAS
JAGIX,Janus Henderson Growth and Inco,N/A,Mutual Fund,NAS
RAGTX,AllianzGI Technology Class A,N/A,Mutual Fund,NAS
AMEFX,"The Income Fund of America, Cla",N/A,Mutual Fund,NAS
LMIYX,Lord Abbett Securities Trust Mi,N/A,Mutual Fund,NAS
FACGX,Fidelity Advisor Series II: Fid,N/A,Mutual Fund,NAS
BIGRX,American Century Income and Gro,N/A,Mutual Fund,NAS
PBHAX,PGIM High Yield Fund Class A,N/A,Mutual Fund,NAS
ICAFX,The Investment Company of Ameri,N/A,Mutual Fund,NAS
TAIAX,American Funds Tax-Aware Conser,N/A,Mutual Fund,NAS
AGDAX,"AB High Income Fund, Inc. - Cla",N/A,Mutual Fund,NAS
AMIGX,Amana Growth Fund Institutional,N/A,Mutual Fund,NAS
FBTAX,Fidelity Advisor Biotechnology,N/A,Mutual Fund,NAS
ITHAX,Hartford Capital Appreciation F,N/A,Mutual Fund,NAS
BAGSX,Baird Aggregate Bond Fd Investo,N/A,Mutual Fund,NAS
GAIOX,American Funds Growth and Incom,N/A,Mutual Fund,NAS
JAMCX,JP Morgan Mid Cap Value Fund-A,N/A,Mutual Fund,NAS
TMAPX,Touchstone Mid Cap Class A,N/A,Mutual Fund,NAS
APGYX,"AB Large Cap Growth Fund, Inc.",N/A,Mutual Fund,NAS
AMUSX,American Funds U.S. Govt Securi,N/A,Mutual Fund,NAS
SFAAX,Wells Fargo Index Asset Allocat,N/A,Mutual Fund,NAS
FCTDX,Strategic Advisers Fidelity U.S,N/A,Mutual Fund,NAS
DGAGX,"BNY Mellon Appreciation Fund, I",N/A,Mutual Fund,NAS
LTEBX,American Funds Ltd Term Tax-Ex,N/A,Mutual Fund,NAS
VMIAX,Vanguard Materials Index Fund A,N/A,Mutual Fund,NAS
RFITX,American Funds 2050 Target Date,N/A,Mutual Fund,NAS
FKUQX,Franklin Utilities Fund Cl A,N/A,Mutual Fund,NAS
BFAFX,"The Bond Fund of America, Class",N/A,Mutual Fund,NAS
AFDIX,American Century Sustainable Eq,N/A,Mutual Fund,NAS
AMHIX,"American Fds, American High-Inc",N/A,Mutual Fund,NAS
EKWAX,WF Precious Metals Fund Class A,N/A,Mutual Fund,NAS
LANSX,Lord Abbett Tax-Free Income Fun,N/A,Mutual Fund,NAS
OSGIX,JPMorgan Mid Cap Growth A,N/A,Mutual Fund,NAS
CHTRX,Invesco Charter Fund Class A,N/A,Mutual Fund,NAS
ASFYX,ASG Managed Futures Strategy Fu,N/A,Mutual Fund,NAS
FHCIX,Fidelity Advisor Health Care Fu,N/A,Mutual Fund,NAS
ATCIX,ATAC Rotation Fund - Institutio,N/A,Mutual Fund,NAS
MAPPX,MSIF Advantage Portfolio Class,N/A,Mutual Fund,NAS
AOMIX,American Century One Choice Por,N/A,Mutual Fund,NAS
IFAFX,"The Income Fund of America, Cla",N/A,Mutual Fund,NAS
AMRFX,"American Mutual Fund, Class F-2",N/A,Mutual Fund,NAS
LACAX,"Columbia Acorn Tr, Acorn Fd Cl",N/A,Mutual Fund,NAS
JHQAX,JPMorgan Hedged Equity Fund - A,N/A,Mutual Fund,NAS
RFHTX,American Funds 2045 Target Date,N/A,Mutual Fund,NAS
ABRZX,Invesco Balanced-Risk Allocatio,N/A,Mutual Fund,NAS
ACAAX,Alger Capital Appreciation Fund,N/A,Mutual Fund,NAS
FCGAX,Franklin Growth Fund Advisor Cl,N/A,Mutual Fund,NAS
